# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.106,0.065,1.115,-0.002,-0.257,-0.311,-0.159,-41.963
0.127,0.065,1.158,-0.111,-0.422,-0.525,-1.914,-166.155
0.148,0.065,1.231,-0.331,-0.550,-0.972,9.449,-214.371
0.170,0.065,1.446,-0.531,-0.314,-1.731,41.498,169.641
0.191,0.065,1.513,-0.590,0.256,-1.959,41.729,204.181
0.212,0.065,1.278,-0.478,0.585,-1.355,31.246,40.627
0.233,0.065,1.110,-0.400,0.630,-0.800,3.423,-63.106
0.255,0.065,1.055,-0.275,0.588,-0.535,-0.045,-34.442
0.276,0.065,1.021,-0.180,0.553,-0.381,-0.001,-22.123
0.297,0.065,1.000,-0.113,0.509,-0.272,0.058,-13.230
0.318,0.065,0.987,-0.074,0.472,-0.203,-0.019,-8.154
0.339,0.065,0.980,-0.050,0.436,-0.153,0.142,-4.783
-0.339,0.080,0.988,0.063,0.405,-0.146,-0.087,-3.157
-0.318,0.080,0.999,0.097,0.442,-0.204,0.097,-6.265
-0.297,0.080,1.012,0.138,0.474,-0.270,-0.050,-10.134
-0.276,0.080,1.035,0.200,0.499,-0.360,0.094,-17.646
-0.255,0.080,1.069,0.289,0.517,-0.495,-0.031,-30.927
-0.233,0.080,1.125,0.411,0.515,-0.701,0.076,-69.889
-0.212,0.080,1.206,0.588,0.446,-1.009,-2.122,-153.033
-0.191,0.080,1.283,0.720,0.183,-1.262,-14.492,-97.797
-0.170,0.080,1.277,0.635,-0.194,-1.117,-8.043,-204.263
-0.148,0.080,1.216,0.363,-0.339,-0.729,1.182,-206.635
-0.127,0.080,1.166,0.185,-0.306,-0.491,0.573,-91.341
-0.106,0.080,1.125,0.070,-0.208,-0.316,-0.085,-26.165
-0.085,0.080,1.107,0.023,-0.140,-0.247,0.040,-9.538
-0.064,0.080,1.098,0.004,-0.093,-0.216,0.034,-3.291
-0.042,0.080,1.095,0.000,-0.071,-0.206,0.051,-1.605
-0.021,0.080,1.092,-0.002,-0.052,-0.198,-0.062,-0.414
0.000,0.080,1.092,0.000,-0.047,-0.195,0.000,-0.169
0.021,0.080,1.092,0.002,-0.052,-0.198,0.063,-0.417
0.042,0.080,1.095,0.000,-0.071,-0.206,-0.051,-1.615
0.064,0.080,1.098,-0.004,-0.093,-0.216,-0.033,-3.310
0.085,0.080,1.107,-0.023,-0.141,-0.248,-0.040,-9.575
