# plane x_cr = 0.30 | grid 33 x 13, y [-0.2,0.2] z [-0.02,0.1], bin-averaged from 6573 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.073,0.049,1.281,-0.472,-0.220,-0.904,2.751,-432.055
0.085,0.049,1.303,-0.641,-0.005,-1.147,10.904,-382.776
0.097,0.049,1.264,-0.664,0.291,-1.161,11.812,-318.267
0.109,0.049,1.188,-0.531,0.491,-0.940,3.211,-322.870
0.121,0.049,1.119,-0.362,0.554,-0.691,-0.339,-195.972
0.133,0.049,1.079,-0.263,0.549,-0.538,0.200,-98.669
0.145,0.049,1.045,-0.180,0.523,-0.400,0.178,-50.673
0.158,0.049,1.021,-0.123,0.490,-0.300,-0.130,-27.889
0.170,0.049,1.009,-0.092,0.464,-0.242,0.119,-17.258
0.182,0.049,1.001,-0.071,0.432,-0.194,0.032,-10.319
0.194,0.049,0.994,-0.056,0.413,-0.162,-0.014,-6.833
-0.194,0.058,1.001,0.063,0.389,-0.157,-0.003,-4.862
-0.182,0.058,1.012,0.088,0.410,-0.201,-0.058,-8.341
-0.170,0.058,1.023,0.112,0.434,-0.247,-0.079,-13.910
-0.158,0.058,1.036,0.142,0.449,-0.295,0.134,-20.598
-0.145,0.058,1.059,0.196,0.463,-0.376,-0.152,-35.124
-0.133,0.058,1.090,0.265,0.463,-0.476,-0.071,-61.185
-0.121,0.058,1.123,0.335,0.443,-0.572,-0.182,-96.949
-0.109,0.058,1.172,0.429,0.368,-0.694,0.759,-176.863
-0.097,0.058,1.218,0.498,0.232,-0.780,1.990,-258.044
-0.085,0.058,1.241,0.475,0.058,-0.766,2.196,-272.357
-0.073,0.058,1.234,0.371,-0.076,-0.664,1.649,-206.938
-0.061,0.058,1.209,0.243,-0.126,-0.539,0.380,-115.181
-0.048,0.058,1.185,0.141,-0.125,-0.441,-0.151,-53.554
-0.036,0.058,1.171,0.087,-0.106,-0.391,-0.091,-27.929
-0.024,0.058,1.160,0.045,-0.082,-0.356,0.002,-11.806
-0.012,0.058,1.154,0.018,-0.064,-0.338,0.200,-4.387
0.000,0.058,1.152,0.000,-0.053,-0.331,0.000,-2.699
0.012,0.058,1.154,-0.018,-0.064,-0.338,-0.200,-4.354
0.024,0.058,1.160,-0.044,-0.082,-0.356,-0.003,-11.731
0.036,0.058,1.171,-0.087,-0.106,-0.391,0.089,-27.821
0.048,0.058,1.185,-0.141,-0.125,-0.440,0.161,-53.510
0.061,0.058,1.209,-0.243,-0.126,-0.538,-0.380,-115.365
0.073,0.058,1.234,-0.371,-0.076,-0.663,-1.694,-206.827
0.085,0.058,1.241,-0.475,0.057,-0.766,-2.183,-271.282
0.097,0.058,1.219,-0.499,0.230,-0.781,-2.001,-259.000
0.109,0.058,1.172,-0.431,0.368,-0.696,-0.795,-180.091
0.121,0.058,1.123,-0.336,0.443,-0.572,0.175,-98.418
0.133,0.058,1.090,-0.265,0.463,-0.476,0.074,-61.699
0.145,0.058,1.058,-0.196,0.463,-0.376,0.153,-35.290
0.158,0.058,1.036,-0.142,0.449,-0.296,-0.135,-20.649
0.170,0.058,1.023,-0.112,0.434,-0.247,0.079,-13.934
0.182,0.058,1.012,-0.088,0.410,-0.201,0.058,-8.352
0.194,0.058,1.004,-0.071,0.397,-0.172,0.013,-5.683
-0.194,0.068,1.010,0.075,0.375,-0.166,-0.048,-4.137
-0.182,0.068,1.021,0.099,0.388,-0.203,-0.072,-6.638
-0.170,0.068,1.032,0.124,0.404,-0.245,-0.063,-10.682
-0.158,0.068,1.045,0.151,0.410,-0.284,0.071,-14.874
-0.145,0.068,1.067,0.197,0.411,-0.347,-0.092,-23.926
-0.133,0.068,1.093,0.250,0.397,-0.419,-0.001,-37.271
-0.121,0.068,1.119,0.298,0.370,-0.479,-0.033,-53.163
-0.109,0.068,1.153,0.351,0.302,-0.547,-0.033,-76.798
-0.097,0.068,1.183,0.380,0.205,-0.587,0.423,-96.443
-0.085,0.068,1.198,0.361,0.095,-0.578,0.323,-99.297
-0.073,0.068,1.199,0.300,0.003,-0.530,0.103,-80.607
-0.061,0.068,1.188,0.221,-0.046,-0.464,-0.119,-54.585
-0.048,0.068,1.174,0.147,-0.063,-0.406,-0.085,-32.363
-0.036,0.068,1.165,0.100,-0.061,-0.371,-0.047,-19.910
-0.024,0.068,1.156,0.056,-0.051,-0.344,0.092,-10.735
-0.012,0.068,1.151,0.024,-0.041,-0.329,0.070,-5.787
0.000,0.068,1.149,0.000,-0.035,-0.323,-0.001,-4.141
0.012,0.068,1.151,-0.024,-0.041,-0.329,-0.070,-5.763
0.024,0.068,1.156,-0.056,-0.051,-0.344,-0.093,-10.694
0.036,0.068,1.165,-0.099,-0.061,-0.371,0.046,-19.859
0.048,0.068,1.174,-0.146,-0.063,-0.405,0.085,-32.325
0.061,0.068,1.188,-0.220,-0.047,-0.463,0.116,-54.531
0.073,0.068,1.199,-0.300,0.003,-0.529,-0.113,-80.610
0.085,0.068,1.198,-0.361,0.094,-0.578,-0.329,-99.561
0.097,0.068,1.183,-0.381,0.204,-0.588,-0.429,-97.073
0.109,0.068,1.153,-0.352,0.302,-0.548,0.026,-77.537
0.121,0.068,1.119,-0.298,0.370,-0.480,0.033,-53.625
0.133,0.068,1.093,-0.250,0.398,-0.419,0.001,-37.528
0.145,0.068,1.067,-0.197,0.411,-0.348,0.093,-24.033
0.158,0.068,1.045,-0.151,0.410,-0.284,-0.071,-14.913
0.170,0.068,1.032,-0.124,0.404,-0.245,0.062,-10.702
0.182,0.068,1.021,-0.099,0.388,-0.203,0.072,-6.648
0.194,0.068,1.013,-0.082,0.379,-0.176,0.064,-4.686
-0.194,0.077,1.015,0.081,0.358,-0.165,-0.044,-3.355
-0.182,0.077,1.028,0.105,0.366,-0.202,-0.075,-5.176
-0.170,0.077,1.038,0.124,0.369,-0.229,-0.072,-7.177
-0.158,0.077,1.051,0.152,0.376,-0.270,0.060,-10.675
-0.145,0.077,1.070,0.189,0.369,-0.319,-0.057,-16.173
-0.133,0.077,1.092,0.229,0.349,-0.370,0.037,-23.139
-0.121,0.077,1.112,0.261,0.321,-0.410,-0.017,-30.769
-0.109,0.077,1.137,0.293,0.265,-0.451,-0.017,-40.241
-0.097,0.077,1.158,0.306,0.194,-0.474,0.224,-46.164
-0.085,0.077,1.170,0.290,0.117,-0.469,0.058,-46.954
-0.073,0.077,1.174,0.250,0.051,-0.444,0.069,-40.707
-0.061,0.077,1.169,0.195,0.008,-0.407,-0.047,-30.888
-0.048,0.077,1.162,0.140,-0.015,-0.372,-0.007,-21.142
-0.036,0.077,1.156,0.101,-0.020,-0.349,-0.003,-14.933
-0.024,0.077,1.150,0.060,-0.020,-0.329,0.060,-9.614
-0.012,0.077,1.145,0.023,-0.012,-0.313,-0.181,-5.920
0.000,0.077,1.145,0.000,-0.013,-0.311,-0.001,-5.457
0.012,0.077,1.145,-0.022,-0.012,-0.313,0.180,-5.912
0.024,0.077,1.149,-0.060,-0.020,-0.329,-0.059,-9.591
0.036,0.077,1.156,-0.101,-0.021,-0.348,0.003,-14.907
0.048,0.077,1.162,-0.140,-0.015,-0.371,0.008,-21.120
0.061,0.077,1.169,-0.195,0.007,-0.407,0.047,-30.874
0.073,0.077,1.173,-0.250,0.050,-0.444,-0.067,-40.731
0.085,0.077,1.170,-0.290,0.116,-0.469,-0.057,-47.074
0.097,0.077,1.158,-0.306,0.193,-0.474,-0.226,-46.382
0.109,0.077,1.137,-0.293,0.264,-0.451,0.017,-40.485
0.121,0.077,1.112,-0.261,0.321,-0.410,0.016,-30.955
0.133,0.077,1.092,-0.229,0.349,-0.370,-0.036,-23.258
0.145,0.077,1.070,-0.189,0.369,-0.319,0.058,-16.235
0.158,0.077,1.051,-0.152,0.376,-0.270,-0.060,-10.704
0.170,0.077,1.038,-0.124,0.369,-0.229,0.072,-7.191
0.182,0.077,1.028,-0.105,0.366,-0.202,0.075,-5.183
0.194,0.077,1.019,-0.089,0.362,-0.178,0.066,-3.818
-0.194,0.086,1.021,0.087,0.343,-0.168,-0.036,-2.768
-0.182,0.086,1.032,0.107,0.346,-0.198,-0.107,-4.044
-0.170,0.086,1.042,0.124,0.345,-0.221,-0.092,-5.357
-0.158,0.086,1.055,0.149,0.347,-0.256,-0.008,-7.870
-0.145,0.086,1.071,0.176,0.335,-0.292,-0.026,-10.774
-0.133,0.086,1.089,0.206,0.314,-0.330,0.028,-14.753
-0.121,0.086,1.105,0.228,0.288,-0.358,-0.032,-18.871
-0.109,0.086,1.124,0.247,0.242,-0.385,0.039,-22.943
-0.097,0.086,1.140,0.252,0.188,-0.400,0.141,-25.352
-0.085,0.086,1.150,0.239,0.132,-0.398,0.051,-25.764
-0.073,0.086,1.154,0.210,0.082,-0.385,0.074,-23.149
-0.061,0.086,1.153,0.171,0.046,-0.363,-0.017,-18.978
-0.048,0.086,1.149,0.128,0.023,-0.341,0.010,-14.390
-0.036,0.086,1.146,0.096,0.014,-0.326,-0.001,-11.284
-0.024,0.086,1.143,0.059,0.009,-0.311,-0.200,-7.526
-0.012,0.086,1.139,0.024,0.011,-0.299,-0.142,-5.998
0.000,0.086,1.139,0.000,0.011,-0.297,0.000,-5.962
0.012,0.086,1.139,-0.023,0.011,-0.299,0.142,-5.996
0.024,0.086,1.142,-0.059,0.009,-0.311,0.201,-7.514
0.036,0.086,1.146,-0.095,0.014,-0.325,0.002,-11.271
