# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
2.000,2.250,1.130,-0.111,-0.082,-0.016,0.000
2.250,2.250,1.128,-0.088,-0.070,-0.005,0.000
2.500,2.250,1.126,-0.070,-0.059,0.003,0.000
2.750,2.250,1.123,-0.055,-0.049,0.010,0.000
3.000,2.250,1.121,-0.046,-0.042,0.015,0.000
-3.000,2.500,1.118,0.036,-0.048,0.014,0.000
-2.750,2.500,1.121,0.046,-0.058,0.007,0.000
-2.500,2.500,1.124,0.059,-0.072,-0.002,0.000
-2.250,2.500,1.128,0.074,-0.086,-0.014,0.000
-2.000,2.500,1.132,0.095,-0.104,-0.029,0.000
-1.750,2.500,1.138,0.124,-0.125,-0.049,0.001
-1.500,2.500,1.151,0.160,-0.138,-0.077,0.010
-1.250,2.500,1.180,0.194,-0.106,-0.111,0.050
-1.000,2.500,1.172,0.208,-0.006,-0.140,0.140
-0.750,2.500,1.054,0.201,0.130,-0.149,0.233
-0.500,2.500,0.888,0.177,0.317,-0.132,0.254
-0.250,2.500,0.786,0.114,0.585,-0.094,0.174
0.000,2.500,0.723,0.001,0.738,-0.070,0.097
0.250,2.500,0.786,-0.112,0.588,-0.093,0.172
0.500,2.500,0.890,-0.176,0.319,-0.131,0.252
0.750,2.500,1.056,-0.201,0.130,-0.148,0.231
1.000,2.500,1.173,-0.208,-0.007,-0.139,0.138
1.250,2.500,1.179,-0.193,-0.107,-0.110,0.049
1.500,2.500,1.151,-0.159,-0.138,-0.076,0.010
1.750,2.500,1.137,-0.123,-0.124,-0.048,0.001
2.000,2.500,1.132,-0.095,-0.104,-0.028,0.000
2.250,2.500,1.128,-0.074,-0.086,-0.013,0.000
2.500,2.500,1.124,-0.059,-0.071,-0.002,0.000
2.750,2.500,1.120,-0.046,-0.058,0.007,0.000
3.000,2.500,1.117,-0.036,-0.047,0.014,0.000
-3.000,2.750,1.115,0.028,-0.056,0.012,0.000
-2.750,2.750,1.118,0.034,-0.066,0.005,0.000
-2.500,2.750,1.123,0.044,-0.081,-0.006,0.000
-2.250,2.750,1.128,0.056,-0.099,-0.020,0.000
-2.000,2.750,1.134,0.072,-0.122,-0.039,0.000
-1.750,2.750,1.143,0.094,-0.149,-0.066,0.002
-1.500,2.750,1.170,0.121,-0.163,-0.104,0.020
-1.250,2.750,1.217,0.141,-0.113,-0.150,0.093
-1.000,2.750,1.171,0.145,0.001,-0.188,0.221
-0.750,2.750,0.957,0.149,0.107,-0.204,0.308
-0.500,2.750,0.748,0.139,0.289,-0.199,0.316
-0.250,2.750,0.689,0.091,0.608,-0.174,0.220
0.000,2.750,0.663,0.001,0.805,-0.154,0.121
0.250,2.750,0.691,-0.089,0.612,-0.173,0.218
0.500,2.750,0.752,-0.138,0.292,-0.198,0.314
0.750,2.750,0.961,-0.149,0.108,-0.203,0.307
1.000,2.750,1.173,-0.145,-0.000,-0.187,0.218
1.250,2.750,1.216,-0.141,-0.114,-0.149,0.090
1.500,2.750,1.169,-0.121,-0.163,-0.103,0.019
1.750,2.750,1.143,-0.094,-0.149,-0.065,0.002
2.000,2.750,1.134,-0.072,-0.121,-0.038,0.000
2.250,2.750,1.128,-0.056,-0.099,-0.019,0.000
2.500,2.750,1.123,-0.044,-0.081,-0.006,0.000
2.750,2.750,1.118,-0.034,-0.066,0.005,0.000
3.000,2.750,1.115,-0.028,-0.056,0.012,0.000
-3.000,3.000,1.112,0.017,-0.057,0.014,0.000
-2.750,3.000,1.116,0.022,-0.071,0.005,0.000
-2.500,3.000,1.121,0.027,-0.088,-0.008,0.000
-2.250,3.000,1.127,0.034,-0.107,-0.023,0.000
-2.000,3.000,1.135,0.043,-0.134,-0.045,0.000
-1.750,3.000,1.148,0.056,-0.166,-0.077,0.004
-1.500,3.000,1.190,0.070,-0.176,-0.123,0.032
-1.250,3.000,1.247,0.077,-0.106,-0.177,0.140
-1.000,3.000,1.141,0.088,-0.010,-0.222,0.282
-0.750,3.000,0.828,0.118,0.053,-0.250,0.334
-0.500,3.000,0.595,0.119,0.245,-0.258,0.333
-0.250,3.000,0.584,0.072,0.611,-0.242,0.252
0.000,3.000,0.601,0.001,0.842,-0.226,0.145
0.250,3.000,0.588,-0.071,0.615,-0.241,0.249
0.500,3.000,0.601,-0.117,0.249,-0.256,0.332
0.750,3.000,0.834,-0.116,0.055,-0.248,0.334
1.000,3.000,1.145,-0.087,-0.009,-0.221,0.280
1.250,3.000,1.247,-0.077,-0.107,-0.176,0.137
1.500,3.000,1.188,-0.070,-0.176,-0.122,0.031
1.750,3.000,1.148,-0.056,-0.165,-0.076,0.003
2.000,3.000,1.134,-0.043,-0.133,-0.044,0.000
2.250,3.000,1.127,-0.034,-0.107,-0.023,0.000
2.500,3.000,1.121,-0.027,-0.087,-0.007,0.000
2.750,3.000,1.116,-0.022,-0.070,0.005,0.000
3.000,3.000,1.112,-0.017,-0.057,0.014,0.000
-3.000,3.250,1.110,0.007,-0.062,0.013,0.000
-2.750,3.250,1.113,0.008,-0.073,0.006,0.000
-2.500,3.250,1.119,0.009,-0.090,-0.007,0.000
-2.250,3.250,1.125,0.010,-0.110,-0.023,0.000
-2.000,3.250,1.133,0.012,-0.138,-0.046,0.000
-1.750,3.250,1.150,0.013,-0.171,-0.080,0.005
-1.500,3.250,1.205,0.012,-0.176,-0.129,0.043
-1.250,3.250,1.268,0.010,-0.096,-0.189,0.179
-1.000,3.250,1.100,0.033,-0.042,-0.243,0.311
-0.750,3.250,0.705,0.081,-0.019,-0.292,0.326
-0.500,3.250,0.465,0.093,0.203,-0.316,0.323
-0.250,3.250,0.486,0.052,0.605,-0.300,0.266
0.000,3.250,0.539,-0.000,0.852,-0.281,0.166
0.250,3.250,0.491,-0.052,0.609,-0.297,0.264
0.500,3.250,0.472,-0.092,0.206,-0.312,0.324
0.750,3.250,0.713,-0.079,-0.015,-0.289,0.327
1.000,3.250,1.107,-0.032,-0.040,-0.241,0.309
1.250,3.250,1.268,-0.010,-0.097,-0.188,0.175
1.500,3.250,1.203,-0.012,-0.177,-0.128,0.042
1.750,3.250,1.149,-0.013,-0.170,-0.079,0.004
2.000,3.250,1.133,-0.012,-0.137,-0.045,0.000
2.250,3.250,1.125,-0.010,-0.110,-0.022,0.000
2.500,3.250,1.119,-0.009,-0.089,-0.006,0.000
2.750,3.250,1.113,-0.008,-0.072,0.006,0.000
3.000,3.250,1.110,-0.007,-0.062,0.014,0.000
-3.000,3.500,1.106,-0.003,-0.059,0.018,0.000
-2.750,3.500,1.110,-0.005,-0.071,0.009,0.000
-2.500,3.500,1.116,-0.008,-0.088,-0.003,0.000
-2.250,3.500,1.122,-0.013,-0.107,-0.018,0.000
-2.000,3.500,1.130,-0.020,-0.133,-0.040,0.000
-1.750,3.500,1.146,-0.030,-0.164,-0.073,0.005
-1.500,3.500,1.209,-0.046,-0.166,-0.122,0.047
